DealID,ReportDate,CutoffDate,CPR_1m,CPR_3m,CPR_12m,CDR_1m,CDR_3m,CDR_Lifetime,PoolBalance,PoolFactor,WA_LTV,WA_Coupon,Arrears_30_60_Pct,Arrears_60_90_Pct,Arrears_90Plus_Pct,CE_ClassA,Factor_ClassA,LRF_Balance,Notes
AVON2,2020-11-30,2020-11-30,0.7081,,8.1737,,,,839448269.75,,75.79,,,,2.58,0.18,1.0,,extracted by script
AVON2,2021-02-28,2021-02-28,0.6543,,7.5754,,,,825538991.45,,75.42,,,,2.58,0.1841,0.9728,,extracted by script
AVON2,2021-04-30,2021-03-31,,,11.6297,,,,816180285.13,,75.39,,,,2.73,,,,extracted by script
AVON2,2021-05-31,2021-04-30,,,8.6262,,,,808713230.05,,75.39,,,,2.88,,,,extracted by script
AVON2,2021-07-31,2021-06-30,,,9.6167,,,,790299717.53,,75.42,,,,2.63,,,,extracted by script
AVON2,2021-08-31,2021-07-31,,,6.9088,,,,782868126.53,,75.38,,,,2.63,,,,extracted by script
AVON2,2021-08-31,2021-08-31,0.9561,,10.8889,,,,774346299.23,,75.38,,,,2.62,0.1953,0.9047,,extracted by script
AVON2,2021-09-30,2021-09-30,,,7.2336,,,,766386013.81,,75.37,,,,2.64,,,,extracted by script
BLETCHLEY,,2024-07-31,2.54,,,,,,233239855.77,,68.97,,,,0.0,0.1536,0.9947,,extracted by script
BLETCHLEY,,2024-08-31,0.82,,,,,,233032227.31,,68.96,,,,0.0,0.1537,0.9937,,extracted by script
BLETCHLEY,,2024-10-31,3.62,,,,,,231395966.36,,68.95,,,,0.0,0.1548,0.9858,,extracted by script
BLETCHLEY,,2024-11-30,5.1,,,,,,230341059.42,,69.01,,,,,0.1555,0.9807,,extracted by script
