DealID,TrancheID,CutoffDate,Rating,Seniority,WAL,CurrentBalance,Attachment,Detachment,Thickness,RiskWeight,RiskWeight_Pct,RWA,Capital
AVON2,Class A,2020-11-30,AAA,senior,3.5,648188081.84,0.18,1.0,0.82,0.1813,18.13,117484089.83,9398727.19
AVON2,Class B,2020-11-30,AA,non-senior,4.0,32504000.0,0.14,0.18,0.04,0.4375,43.75,14220500.0,1137640.0
AVON2,Class C,2020-11-30,A,non-senior,4.5,32505000.0,0.1,0.14,0.04,0.7625,76.25,24785062.5,1982805.0
AVON2,Class D,2020-11-30,BBB,non-senior,5.0,24378000.0,0.07,0.1,0.03,1.4,140.0,34129200.0,2730336.0
AVON2,Class E,2020-11-30,BB,non-senior,5.0,20316000.0,0.045,0.07,0.025,3.3,330.0,67042800.0,5363424.0
AVON2,Class F,2020-11-30,B,non-senior,5.0,8126000.0,0.035,0.045,0.01,7.5,750.0,60945000.0,4875600.0
AVON2,Class Z,2020-11-30,NR,non-senior,5.0,28441000.0,0.0,0.035,0.035,12.5,1250.0,355512500.0,28441000.0
BLETCHLEY,Class A,2024-07-31,AAA,senior,3.0,206049819.26,0.1536,1.0,0.8464,0.175,17.5,36058718.37,2884697.47
BLETCHLEY,Class B,2024-07-31,AA,non-senior,3.5,13058000.0,0.0999,0.1536,0.0537,0.4062,40.62,5304812.5,424385.0
BLETCHLEY,Class C,2024-07-31,A,non-senior,4.0,8903000.0,0.0633,0.0999,0.0366,0.725,72.5,6454675.0,516374.0
BLETCHLEY,Class D,2024-07-31,BBB,non-senior,4.5,4748000.0,0.0438,0.0633,0.0195,1.3375,133.75,6350450.0,508036.0
BLETCHLEY,Class E,2024-07-31,BB,non-senior,5.0,3563000.0,0.0291,0.0438,0.0147,3.3,330.0,11757900.0,940632.0
BLETCHLEY,Class X1,2024-07-31,NR,non-senior,2.0,2409989.35,0.0,0.0291,0.0291,12.5,1250.0,30124866.88,2409989.35
BLETCHLEY,Class X2,2024-07-31,NR,non-senior,3.0,2967000.0,0.0,0.0291,0.0291,12.5,1250.0,37087500.0,2967000.0
